ID,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,state,ownerName
1852, A4,2014,9198,Manual,60667.0,Diesel,30,65.7,XLarge,Used,Tony ElNakshabandy
109, A1,2016,10500,Manual,18272.0,Petrol,0,67.3,XXSmall,Used,Joe Olsen
3869, A6,2018,20450,Manual,36000.0,Diesel,145,61.4,XLarge,Used,Mohammed 3adaweya
1148, A5,2017,22498,Semi-Auto,24020.0,Diesel,145,70.6,XLarge,Used,Anna 3adaweya
4727, A4,2019,25050,Semi-Auto,10205.0,Petrol,145,38.2,XLarge,Used,Anna Olsen
7707, Q3,2015,18500,Automatic,26240.0,Diesel,160,50.4,XLarge,Used,Mark Osement
7158, Q2,2018,17931,Manual,9566.0,Petrol,145,52.3,XSmall,Used,Max ElNakshabandy
4073, Q5,2020,60000,Semi-Auto,7499.0,Diesel,145,32.5,XXLarge,Used,Bart Olsen
4442, Q5,2019,33490,Automatic,5000.0,Diesel,145,38.2,XLarge,Used,Tony 3adaweya
9277, A1,2016,10999,Manual,22150.0,Diesel,0,76.3,Medium,Used,Bart Johnson
3265, Q3,2017,21991,Manual,20054.0,Diesel,145,54.3,XLarge,Used,Mohammed Williams
2545, A5,2018,29990,Semi-Auto,7479.0,Petrol,145,36.7,XXLarge,Used,Andy Williams
4927, Q5,2019,34000,Automatic,0.0,Diesel,145,38.2,XLarge,New,Anna Osement
1352, A4,2017,14798,Manual,30795.0,Petrol,145,51.4,XSmall,Used,Ali Harris
4302, Q3,2019,24990,Manual,5000.0,Petrol,145,40.9,Small,Used,Anna Harris
4017, Q2,2019,29995,Automatic,6023.0,Petrol,145,39.8,Small,Used,Max Johnson
4741, A5,2020,35220,Semi-Auto,4709.0,Diesel,145,48.7,XLarge,Used,Mohammed Harris
1163, Q3,2015,15798,Manual,21691.0,Petrol,145,49.6,XSmall,Used,Hamada 3adaweya
2688, A3,2019,26184,Semi-Auto,9316.0,Petrol,145,38.2,XLarge,Used,Tony Johnson
6230, A6,2016,19995,Semi-Auto,18228.0,Diesel,20,64.2,XLarge,Used,Ali Johnson
1037, A1,2016,12996,Manual,15121.0,Petrol,30,56.5,XSmall,Used,Joe Williams
8, A3,2015,10200,Manual,46112.0,Petrol,20,60.1,XSmall,Used,Joe Olsen
2908, Q3,2017,16505,Manual,32895.0,Petrol,125,51.4,XSmall,Used,Andy ElNakshabandy
2917, A6,2018,19995,Semi-Auto,20136.0,Diesel,150,64.2,XLarge,Used,Bob 3adaweya
5026, A6,2016,17950,Manual,32390.0,Diesel,125,58.9,XLarge,Used,Tim Harris
5214, Q3,2019,24990,Manual,3000.0,Petrol,145,40.9,Small,Used,John Cyrus
7280, A6,2014,15999,Automatic,30603.0,Diesel,30,64.2,XLarge,Used,Mark Williams
3040, Q3,2019,26875,Semi-Auto,13479.0,Diesel,145,48.7,XLarge,Used,Bob Harris
6019, Q5,2019,34990,Semi-Auto,0.0,Diesel,145,38.2,XLarge,New,Bart Olsen
2732, A3,2017,22495,Manual,16000.0,Petrol,200,40.4,XLarge,Used,Bob Williams
6310, Q3,2019,29995,Manual,7687.0,Diesel,145,40.9,XLarge,Used,Hamada 3adaweya
7155, Q3,2016,15790,Manual,30865.0,Diesel,30,60.1,XLarge,Used,Bob Smith
992, A3,2016,14498,Manual,30895.0,Petrol,125,52.3,XSmall,Used,Mark Olsen
8525, A4,2016,14729,Manual,44328.0,Diesel,20,70.6,XLarge,Used,Hamada Harris
4238, A3,2016,19990,Semi-Auto,50000.0,Petrol,200,40.9,XLarge,Used,Anna Johnson
1732, A3,2017,11895,Manual,28334.0,Petrol,150,62.8,XXSmall,Used,Bob Smith
4655, A4,2020,28995,Semi-Auto,4000.0,Diesel,145,54.3,XXLarge,Used,Andy Olsen
2651, Q3,2018,23252,Semi-Auto,18865.0,Petrol,145,47.9,XSmall,Used,Ali Williams
7732, A3,2015,12200,Manual,13842.0,Diesel,20,72.4,Medium,Used,Joe Osement
2223, A4,2017,16320,Manual,33083.0,Diesel,0,74.3,XLarge,Used,Mark Smith
4778, A3,2019,19900,Manual,8078.0,Diesel,145,51.4,Medium,Used,Hamada Smith
616, A5,2016,16995,Manual,26307.0,Diesel,125,60.1,XLarge,Used,Joe Cyrus
2130, A1,2017,11980,Manual,35882.0,Petrol,150,57.6,XSmall,Used,Tony Williams
8083, Q3,2015,14490,Manual,38497.0,Diesel,30,61.4,XLarge,Used,Tony Marks
4255, A3,2018,19490,Manual,23800.0,Petrol,145,49.6,XLarge,Used,Hamada ElNakshabandy
1517, Q5,2015,19698,Manual,39056.0,Diesel,200,47.9,XLarge,Used,Anna 3adaweya
4171, Q2,2019,36990,Automatic,6000.0,Petrol,145,41.5,Small,Used,John Osement
1516, Q3,2017,19498,Manual,20110.0,Petrol,145,51.4,XSmall,Used,Anna Marks
5541, A1,2020,25950,Semi-Auto,2888.0,Petrol,150,44.8,Small,Used,Mark 3adaweya
7558, Q5,2015,18950,Semi-Auto,48540.0,Petrol,200,47.1,XLarge,Used,Anna Williams
427, A4,2017,19495,Semi-Auto,31214.0,Diesel,30,67.3,XLarge,Used,Hamada Cyrus
1025, Q3,2019,33888,Automatic,2590.0,Petrol,145,31.4,XLarge,Used,John Olsen
4333, Q3,2016,19990,Semi-Auto,19393.0,Petrol,145,47.9,XSmall,Used,Joe Williams
8927, A1,2011,7495,Manual,60700.0,Petrol,125,53.3,XSmall,Used,Tony Harris
926, A6,2019,32996,Automatic,7098.0,Diesel,145,39.8,XXLarge,Used,Bob 3adaweya
8557, A5,2012,8975,Manual,70000.0,Diesel,125,60.1,XLarge,Used,Bart Johnson
7199, A5,2013,9470,Manual,111873.0,Diesel,30,61.4,XLarge,Used,Joe ElNakshabandy
7201, A4,2016,13797,Manual,52557.0,Diesel,30,64.2,XLarge,Used,Andy Williams
5265, A3,2019,32499,Semi-Auto,4500.0,Petrol,150,34.5,XLarge,Used,Ali Harris
7791, A5,2013,10500,Automatic,69670.0,Diesel,145,53.3,XLarge,Used,Tony Marks
9007, Q3,2019,32000,Automatic,2796.0,Petrol,150,31.7,XLarge,Used,Max Harris
9096, Q3,2017,21490,Automatic,18438.0,Petrol,150,47.9,XSmall,Used,John Osement
7534, Q3,2016,17499,Automatic,36615.0,Diesel,145,51.4,XLarge,Used,Joe Johnson
3952, A1,2016,12990,Manual,35678.0,Petrol,0,67.3,XXSmall,Used,Max 3adaweya
6663, A1,2017,14444,Manual,26000.0,Petrol,145,55.4,XSmall,Used,Tony Cyrus
5911, A4,2018,17300,Manual,24140.0,Petrol,145,52.3,XSmall,Used,Raymond ElNakshabandy
2442, Q5,2019,31395,Semi-Auto,2343.0,Diesel,145,39.2,XLarge,Used,Bob Osement
645, Q3,2019,38995,Automatic,4304.0,Diesel,145,37.7,XLarge,Used,Bob ElNakshabandy
4996, Q2,2019,20750,Manual,2200.0,Diesel,145,49.6,Medium,Used,Bob Osement
2912, Q3,2013,13499,Automatic,43376.0,Diesel,200,47.9,XLarge,Used,Andy Smith
5184, A5,2018,26900,Semi-Auto,15000.0,Petrol,150,50.4,XLarge,Used,Bart Marks
4358, A6,2020,42500,Semi-Auto,3000.0,Diesel,145,37.7,XXLarge,Used,Raymond Osement
5060, Q2,2019,26000,Semi-Auto,7499.0,Petrol,145,40.9,Small,Used,Anna Cyrus
3619, Q5,2017,26490,Semi-Auto,27500.0,Diesel,145,55.4,XLarge,Used,Raymond Marks
7088, A3,2014,8499,Manual,32379.0,Diesel,0,74.3,Medium,Used,Ali Osement
4132, A1,2020,22750,Semi-Auto,2999.0,Petrol,145,44.8,Small,Used,Joe 3adaweya
4338, A1,2017,17490,Semi-Auto,18000.0,Petrol,145,70.6,XSmall,Used,Tim Harris
7029, A1,2015,10299,Manual,31239.0,Diesel,0,80.7,Medium,Used,Raymond Harris
1401, A1,2019,21790,Semi-Auto,5304.0,Petrol,145,40.9,XLarge,Used,Mohammed Olsen
4692, A3,2017,16272,Manual,7326.0,Petrol,20,60.1,XSmall,Used,John ElNakshabandy
3026, A1,2019,19000,Semi-Auto,6934.0,Petrol,145,47.9,XXSmall,Used,Mohammed Olsen
7978, A5,2016,19499,Automatic,21968.0,Diesel,145,56.5,XLarge,Used,Tony Olsen
4019, A3,2014,15490,Automatic,24597.0,Hybrid,0,188.3,XSmall,Used,Raymond ElNakshabandy
6186, Q3,2020,37888,Semi-Auto,6000.0,Petrol,145,30.7,XLarge,Used,Joe ElNakshabandy
2611, A4,2018,18995,Semi-Auto,18696.0,Petrol,145,50.4,XSmall,Used,Anna Williams
2010, A4,2020,29995,Manual,4000.0,Petrol,145,38.2,XLarge,Used,Anna Harris
8263, A5,2016,17495,Manual,27416.0,Diesel,125,58.9,XLarge,Used,Max Williams
3303, Q5,2019,35500,Semi-Auto,3322.0,Diesel,150,38.2,XLarge,Used,Tim Osement
3064, A1,2016,11491,Manual,20826.0,Petrol,30,57.6,XSmall,Used,Hamada Johnson
2906, A1,2017,15698,Manual,16434.0,Petrol,145,70.6,XSmall,Used,Joe Olsen
3086, A4,2016,12992,Manual,45338.0,Petrol,145,51.4,XSmall,Used,Joe Olsen
5015, A4,2015,15999,Manual,29102.0,Diesel,20,68.9,XLarge,Used,Ali Cyrus
6437, A4,2017,20590,Semi-Auto,34250.0,Diesel,125,60.1,XXLarge,Used,Tony ElNakshabandy
3171, A4,2019,26491,Manual,5500.0,Petrol,145,39.2,XLarge,Used,Raymond Smith
4434, A4,2019,23500,Manual,4514.0,Petrol,145,38.2,XLarge,Used,Bart Osement
9225, Q5,2019,31000,Automatic,0.0,Diesel,145,39.2,XLarge,New,Hamada Williams
232, A4,2019,29985,Automatic,0.0,Petrol,145,42.8,XLarge,New,Ali Johnson
9092, A5,2016,22490,Automatic,31987.0,Petrol,265,35.8,XXLarge,Used,Tony 3adaweya
4024, A3,2019,21990,Semi-Auto,14246.0,Petrol,145,42.2,Small,Used,Tony ElNakshabandy
5380, Q5,2019,31290,Semi-Auto,11065.0,Diesel,145,38.2,XLarge,Used,Hamada Olsen
8437, A1,2011,6475,Manual,45000.0,Diesel,0,70.6,Medium,Used,Mohammed Cyrus
6550, A3,2009,5995,Manual,82000.0,Petrol,235,39.2,XLarge,Used,Andy Johnson
5883, A5,2018,24300,Manual,25120.0,Petrol,145,47.1,XLarge,Used,Mohammed 3adaweya
1804, A3,2016,17870,Semi-Auto,42334.0,Diesel,125,57.6,XLarge,Used,Joe Cyrus
2774, Q2,2019,22302,Semi-Auto,6033.0,Diesel,150,46.3,Medium,Used,Max Johnson
7587, Q3,2019,25950,Manual,13542.0,Petrol,145,39.8,Small,Used,Tony Harris
4833, A3,2019,18900,Manual,0.0,Diesel,150,51.4,Medium,New,Anna Johnson
9200, Q3,2019,31000,Automatic,4815.0,Petrol,145,31.7,XLarge,Used,Max Harris
2750, A1,2016,14470,Manual,18365.0,Petrol,30,56.5,XSmall,Used,Hamada Williams
1171, A1,2016,10510,Manual,31913.0,Petrol,0,67.3,XXSmall,Used,Anna 3adaweya
4918, Q3,2018,23700,Semi-Auto,16437.0,Petrol,150,47.9,XSmall,Used,Mark Olsen
6279, Q3,2019,28995,Manual,1853.0,Diesel,145,42.8,XLarge,Used,Anna ElNakshabandy
8804, Q5,2018,29000,Automatic,20527.0,Petrol,150,40.4,XLarge,Used,Hamada Osement
6565, A1,2019,22000,Semi-Auto,7500.0,Petrol,150,40.9,XLarge,Used,Tony ElNakshabandy
8853, A3,2019,20790,Manual,4555.0,Diesel,145,52.3,Medium,Used,Tim Harris
4645, A4,2019,26950,Automatic,6000.0,Petrol,145,38.2,XLarge,Used,Mark Williams
2041, A1,2015,10965,Manual,47000.0,Petrol,30,55.4,XSmall,Used,John Osement
4029, Q5,2019,31490,Automatic,6000.0,Diesel,145,39.2,XLarge,Used,Bart ElNakshabandy
4726, A3,2019,21950,Manual,5000.0,Diesel,145,51.4,Medium,Used,Andy Williams
8725, Q5,2019,33000,Automatic,7500.0,Diesel,145,38.2,XLarge,Used,Bart Osement
1466, Q3,2015,17998,Manual,25719.0,Diesel,160,49.6,XLarge,Used,Tony Harris
1301, A6,2017,18998,Semi-Auto,35786.0,Diesel,145,64.2,XLarge,Used,Tim Williams
1456, A3,2018,25489,Semi-Auto,18478.0,Petrol,145,43.5,XLarge,Used,Bob Harris
893, Q3,2015,19498,Manual,14919.0,Diesel,160,49.6,XLarge,Used,Andy 3adaweya
7960, A6,2014,10950,Automatic,123445.0,Diesel,30,64.2,XLarge,Used,Bob Harris
5113, A5,2020,30990,Semi-Auto,1500.0,Petrol,145,39.2,XLarge,Used,Mohammed Olsen
4730, A3,2017,18442,Semi-Auto,28849.0,Petrol,30,57.6,XSmall,Used,Tim 3adaweya
3236, A3,2016,12891,Semi-Auto,51757.0,Petrol,20,60.1,XSmall,Used,Bart 3adaweya
8930, A3,2016,12695,Manual,22000.0,Diesel,20,70.6,XLarge,Used,Bart Smith
4622, A3,2015,9995,Manual,29565.0,Petrol,125,53.3,XSmall,Used,Anna Olsen
1328, Q3,2016,17898,Manual,15982.0,Diesel,30,60.1,XLarge,Used,Tim Olsen
6514, A4,2019,27990,Automatic,6000.0,Diesel,145,45.6,XLarge,Used,Mark 3adaweya
6090, Q5,2019,30995,Semi-Auto,4750.0,Diesel,145,39.2,XLarge,Used,Andy Osement
2118, A3,2019,22480,Manual,6925.0,Diesel,145,51.4,Medium,Used,Bart Cyrus
4276, Q3,2019,26990,Manual,5000.0,Diesel,145,42.8,XLarge,Used,Mohammed Olsen
8372, Q3,2019,29995,Manual,0.0,Petrol,145,39.8,Small,New,Joe Marks
438, Q5,2016,33995,Semi-Auto,23478.0,Diesel,235,42.2,XXLarge,Used,Raymond Marks
2480, Q3,2020,27690,Manual,0.0,Diesel,145,42.8,XLarge,New,Anna Cyrus
7283, A5,2016,13699,Manual,34553.0,Diesel,125,58.9,XLarge,Used,Tim Osement
5465, Q2,2019,26970,Automatic,4515.0,Petrol,145,33.2,XLarge,Used,Tony Harris
8363, Q3,2019,38250,Automatic,2673.0,Diesel,145,45.6,XLarge,Used,Tim Osement
2172, A6,2015,14992,Semi-Auto,73699.0,Diesel,125,58.9,XXLarge,Used,Raymond Smith
3991, A1,2019,25990,Manual,6000.0,Petrol,145,47.9,XXSmall,Used,Anna Williams
3517, Q3,2017,24290,Semi-Auto,15836.0,Petrol,145,40.4,XLarge,Used,Mark Olsen
525, A6,2015,16995,Semi-Auto,55220.0,Diesel,30,64.2,XLarge,Used,Raymond ElNakshabandy
2149, A1,2019,21780,Semi-Auto,6661.0,Petrol,150,47.1,XXSmall,Used,Anna Williams
8548, A3,2015,13995,Automatic,40000.0,Diesel,125,61.4,XLarge,Used,Max Osement
2057, Q2,2019,26995,Manual,5000.0,Petrol,145,39.2,Small,Used,Andy ElNakshabandy
1380, Q3,2013,10190,Manual,69884.0,Diesel,145,54.3,XLarge,Used,Bob Marks
6244, A4,2016,15450,Semi-Auto,43420.0,Petrol,30,55.4,XLarge,Used,Max Olsen
1874, Q5,2018,37495,Semi-Auto,19443.0,Petrol,145,34.0,XXLarge,Used,Mark Smith
1735, A4,2017,15250,Manual,59000.0,Diesel,30,67.3,XLarge,Used,Bob Smith
8909, Q3,2014,15880,Automatic,19000.0,Diesel,200,47.9,XLarge,Used,Mohammed Olsen
1684, Q2,2017,15250,Manual,42755.0,Diesel,30,64.2,Medium,Used,Tim Marks
7159, A3,2017,15970,Manual,30584.0,Petrol,145,60.1,XSmall,Used,Mohammed Marks
4621, A6,2014,15000,Semi-Auto,29074.0,Diesel,145,55.4,XLarge,Used,Tony Osement
7529, Q5,2019,33950,Automatic,12354.0,Diesel,145,38.2,XLarge,Used,Ali Marks
4337, A3,2019,22490,Semi-Auto,14300.0,Petrol,145,42.2,Small,Used,Tim ElNakshabandy
4319, A3,2019,31450,Semi-Auto,5069.0,Petrol,145,34.9,XLarge,Used,Tim Osement
3324, Q5,2020,46000,Semi-Auto,4000.0,Hybrid,135,117.7,XLarge,Used,Anna Smith
119, A1,2017,12100,Manual,49221.0,Petrol,145,55.4,XSmall,Used,Bob Marks
4064, A1,2019,19857,Manual,6272.0,Petrol,145,50.4,XXSmall,Used,John Cyrus
3639, A1,2017,11495,Manual,35290.0,Petrol,150,57.6,XSmall,Used,Bart ElNakshabandy
8045, A3,2016,15990,Manual,42395.0,Petrol,30,60.1,XSmall,Used,Tim Johnson
4712, Q2,2019,20834,Manual,5880.0,Diesel,145,49.6,Medium,Used,Raymond 3adaweya
2583, A4,2016,15995,Manual,19912.0,Petrol,145,51.4,XSmall,Used,John Cyrus
41, Q3,2016,17200,Automatic,39603.0,Diesel,160,50.4,XLarge,Used,Mohammed 3adaweya
8294, Q3,2019,34990,Automatic,2240.0,Petrol,145,38.2,Small,Used,Bob ElNakshabandy
8220, Q3,2019,35990,Automatic,1250.0,Petrol,145,38.2,Small,Used,John ElNakshabandy
8665, A6,2017,20499,Automatic,29095.0,Diesel,145,55.4,XLarge,Used,Mark Olsen
7746, A4,2016,16000,Manual,37655.0,Diesel,20,68.9,XLarge,Used,Joe ElNakshabandy
1305, A6,2013,13695,Semi-Auto,46206.0,Diesel,145,55.4,XXLarge,Used,Mohammed Williams
4065, A6,2019,30000,Automatic,5999.0,Diesel,145,47.9,XLarge,Used,Max Cyrus
1239,,2016,11990,Manual,14946.0,Petrol,30,57.6,XSmall,Used,Ali Smith
189, A5,2017,20485,Manual,34679.0,Diesel,30,65.7,XLarge,Used,Max Olsen
5392, A6,2019,27485,Automatic,6000.0,Diesel,145,50.4,XLarge,Used,Anna Osement
1361, A6,2019,26888,Semi-Auto,21343.0,Diesel,150,50.4,XLarge,Used,Anna ElNakshabandy
1807, A6,2016,18243,Semi-Auto,46331.0,Diesel,150,55.4,XLarge,Used,Tony ElNakshabandy
5361, A4,2020,40900,Semi-Auto,1964.0,Diesel,145,40.4,XXLarge,Used,Andy Marks
1796, Q5,2019,34583,Semi-Auto,6051.0,Diesel,145,38.2,XLarge,Used,Joe ElNakshabandy
7459, Q3,2019,27950,Manual,0.0,Diesel,145,42.8,XLarge,New,Joe ElNakshabandy
180, A6,2015,16985,Manual,34646.0,Diesel,30,61.4,XLarge,Used,Anna 3adaweya
6745, Q3,2016,17650,Automatic,49841.0,Diesel,160,50.4,XLarge,Used,Tony ElNakshabandy
8163, Q3,2017,23490,Automatic,16821.0,Petrol,200,42.2,XLarge,Used,John Marks
6549, A5,2010,9495,Manual,76000.0,Petrol,235,38.7,XLarge,Used,Max Johnson
4636, A3,2019,22950,Automatic,6605.0,Diesel,145,51.4,XLarge,Used,Ali Cyrus
8167, Q2,2019,24290,Manual,7010.0,Diesel,145,47.9,Medium,Used,Max Williams
4796, A6,2019,36780,Automatic,8231.0,Petrol,145,34.0,XLarge,Used,Tim Williams
6497, A1,2018,14990,Manual,5000.0,Petrol,145,47.9,XXSmall,Used,Bob Marks
9027, A6,2020,30000,Automatic,0.0,Diesel,145,47.9,XLarge,New,Anna Harris
6807, A1,2015,11000,Manual,45551.0,Diesel,0,80.7,Medium,Used,Tony Olsen
5365, Q2,2019,30500,Automatic,9161.0,Petrol,145,33.2,XLarge,Used,Raymond Williams
5335, A3,2019,23800,Manual,5472.0,Diesel,145,55.4,XLarge,Used,Joe 3adaweya
1700, Q5,2016,22495,Semi-Auto,25721.0,Diesel,200,47.1,XLarge,Used,Mark Olsen
4373, Q2,2017,16500,Manual,12632.0,Petrol,150,55.4,XXSmall,Used,Hamada ElNakshabandy
3365, A4,2019,24750,Automatic,4500.0,Diesel,145,50.4,XLarge,Used,John Williams
370, A1,2017,15995,Manual,15187.0,Diesel,145,76.3,Medium,Used,Bart Smith
3137, A6,2019,36991,Automatic,2000.0,Diesel,145,50.4,XLarge,Used,John Osement
529, Q2,2019,25998,Semi-Auto,0.0,Diesel,150,46.3,XLarge,New,Anna Osement
6268, A4,2016,13750,Manual,38298.0,Petrol,125,53.3,XSmall,Used,Max Marks
5041, Q5,2019,33950,Semi-Auto,4980.0,Diesel,145,38.2,XLarge,Used,Ali Williams
7056, A5,2015,14999,Automatic,57141.0,Diesel,125,58.9,XLarge,Used,John Cyrus
2812, A6,2019,45912,Automatic,5260.0,Diesel,145,36.2,XXLarge,Used,John 3adaweya
8529, A6,2016,18999,Automatic,52287.0,Diesel,125,58.9,XLarge,Used,Andy Johnson
1783, Q2,2019,21644,Manual,8000.0,Diesel,145,49.6,Medium,Used,Joe Osement
3604, Q2,2019,24499,Manual,5606.0,Petrol,145,39.2,Small,Used,Joe Smith
4088, A4,2020,32500,Semi-Auto,3999.0,Diesel,145,49.6,XLarge,Used,John Olsen
685, A1,2016,11495,Manual,8000.0,Petrol,0,67.3,XXSmall,Used,Hamada Osement
3676, Q5,2019,45490,Automatic,10000.0,Hybrid,135,117.7,XLarge,Used,Bob Johnson
4634, Q3,2019,27950,Semi-Auto,1701.0,Diesel,150,48.7,XLarge,Used,Tim Williams
6601, A5,2019,24990,Automatic,2650.0,Diesel,150,67.3,XLarge,Used,Anna Cyrus
8135, A4,2016,14000,Manual,48860.0,Diesel,20,70.6,XLarge,Used,Ali Smith
2667, A6,2019,32326,Automatic,3866.0,Diesel,145,39.2,XXLarge,Used,Mohammed Marks
1748, A3,2017,16498,Semi-Auto,2022.0,Petrol,145,60.1,XXSmall,Used,Anna Williams
8559, A5,2012,9475,Manual,60000.0,Diesel,125,57.6,XLarge,Used,Max Olsen
3425, A3,2019,22850,Manual,5797.0,Diesel,145,52.3,Medium,Used,Tony Williams
3841, Q5,2019,32500,Semi-Auto,5204.0,Diesel,150,55.4,XLarge,Used,Ali Harris
2623, A4,2016,15290,Semi-Auto,36157.0,Diesel,20,72.4,XLarge,Used,Hamada Johnson
1225, Q3,2016,19498,Manual,10855.0,Diesel,160,49.6,XLarge,Used,Andy Cyrus
3706, Q5,2020,36500,Semi-Auto,5000.0,Diesel,145,38.2,XLarge,Used,Tim Johnson
6222, Q3,2015,15790,Semi-Auto,40675.0,Diesel,145,54.3,XLarge,Used,Joe Johnson
84, Q3,2017,15600,Manual,36714.0,Petrol,125,51.4,XSmall,Used,Joe Cyrus
2895, A1,2016,10020,Manual,36843.0,Diesel,0,76.3,Medium,Used,Ali 3adaweya
2775, Q5,2014,15490,Semi-Auto,69798.0,Diesel,200,47.1,XLarge,Used,Hamada Williams
2811, Q2,2019,27870,Semi-Auto,5872.0,Petrol,145,33.2,XLarge,Used,Tim Smith
185, A5,2015,16498,Manual,46637.0,Diesel,30,61.4,XLarge,Used,Bart Marks
7319, A1,2017,12313,Manual,27015.0,Petrol,145,55.4,XSmall,Used,Joe Williams
1642, Q3,2016,13995,Semi-Auto,58406.0,Petrol,145,47.9,XSmall,Used,Tony Williams
3516, A1,2016,9490,Manual,41445.0,Petrol,0,67.3,XXSmall,Used,Andy 3adaweya
2727, Q3,2019,27162,Semi-Auto,5263.0,Diesel,150,48.7,XLarge,Used,Raymond Johnson
8786, A1,2017,14490,Manual,13000.0,Petrol,145,55.4,XSmall,Used,Mohammed Harris
4845, A3,2019,31500,Automatic,0.0,Petrol,145,36.7,XLarge,New,Bob Cyrus
3950, A6,2017,23990,Semi-Auto,28412.0,Diesel,150,58.9,XLarge,Used,Hamada Johnson
14, A6,2015,15400,Manual,47348.0,Diesel,30,61.4,XLarge,Used,Mark Cyrus
4430, A3,2019,22500,Semi-Auto,14307.0,Petrol,145,41.5,Small,Used,Hamada Harris
384, Q3,2017,24995,Semi-Auto,9078.0,Petrol,145,40.4,XLarge,Used,Tim Harris
1979, Q2,2019,21995,Semi-Auto,10544.0,Petrol,145,42.8,Small,Used,John Cyrus
5552, A5,2019,31500,Automatic,8850.0,Diesel,145,44.1,XLarge,Used,Raymond ElNakshabandy
5031, A3,2019,18990,Semi-Auto,2620.0,Diesel,150,52.3,Medium,Used,Tim Smith
1287, A5,2015,13890,Semi-Auto,66500.0,Diesel,125,58.9,XLarge,Used,Hamada Olsen
2299, A6,2015,15465,Automatic,55246.0,Diesel,30,64.2,XLarge,Used,Raymond Olsen
2502, A4,2016,14242,Manual,14900.0,Petrol,125,53.3,XSmall,Used,Hamada Olsen
3923, Q5,2020,49495,Semi-Auto,4000.0,Hybrid,135,117.7,XLarge,Used,Max Harris
9177, A3,2020,16999,Manual,2718.0,Petrol,150,49.6,XXSmall,Used,Mohammed Johnson
4923, Q5,2020,37000,Semi-Auto,2000.0,Diesel,145,38.2,XLarge,Used,Andy Cyrus
6208, A3,2013,13500,Manual,34447.0,Diesel,20,67.3,XLarge,Used,Joe Johnson
5926, A1,2019,22990,Automatic,2405.0,Petrol,145,44.1,XXSmall,Used,Tony Williams
7651, Q5,2016,19400,Semi-Auto,41185.0,Diesel,200,47.1,XLarge,Used,Hamada Smith
5590, A6,2019,32900,Automatic,8012.0,Diesel,145,45.6,XLarge,Used,Andy Williams
8545, Q3,2015,10999,Manual,89330.0,Diesel,30,61.4,XLarge,Used,Hamada Olsen
7953, Q3,2016,19995,Automatic,13483.0,Diesel,160,50.4,XLarge,Used,Joe ElNakshabandy
